index,MainBranch,Employment,Country,Age1stCode,LearnCode,YearsCode,LanguageHaveWorkedWith,Age,Gender
2510,I am a developer by profession,Employed full-time,Canada,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School",30,Bash/Shell;Go;Groovy;Python;Rust,45-54 years old,Man
2511,I am a student who is learning to code,"Student, full-time",Canada,11 - 17 years,Online Courses or Certification,3,Java;Python,18-24 years old,Man
2512,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague",14,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;R;TypeScript,35-44 years old,Man
2513,I am a developer by profession,Employed full-time,Germany,18 - 24 years,School;Colleague,6,Java;SQL,25-34 years old,Man
2514,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School,8,C#;Dart;JavaScript,25-34 years old,Man
2515,I am a developer by profession,Employed full-time,Germany,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Colleague",25,C#;HTML/CSS;JavaScript;SQL,35-44 years old,"Non-binary, genderqueer, or gender non-conforming"
2516,I am a developer by profession,Employed part-time,India,11 - 17 years,School;Colleague,10,HTML/CSS;JavaScript;Python,25-34 years old,Man
2517,I am a developer by profession,Employed full-time,Denmark,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member",14,Bash/Shell;C;C++;HTML/CSS;JavaScript;Node.js;Python;Rust;SQL;TypeScript,25-34 years old,Man
2518,I am a developer by profession,Employed full-time,India,11 - 17 years,School,,Python;SQL,Prefer not to say,Prefer not to say
2519,I code primarily as a hobby,"Not employed, but looking for work",United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",5,Assembly;Bash/Shell;C;C#;C++;Java;JavaScript;Node.js;Python;Rust;TypeScript,Under 18 years old,Man
2520,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague",8,C#;Go;HTML/CSS;JavaScript;Node.js;PowerShell;Python,18-24 years old,Man
2521,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School",6,Bash/Shell;Erlang;Node.js;Perl;Python,25-34 years old,Man
2522,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc)",12,Bash/Shell;Python,18-24 years old,Man
2523,I am a developer by profession,Employed full-time,Morocco,18 - 24 years,Coding Bootcamp;School;Friend or family member;Online Courses or Certification;Colleague,8,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL;Swift;TypeScript,25-34 years old,Man
2524,I am a developer by profession,Employed full-time,Spain,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Colleague",3,Bash/Shell;C;C#;C++;Haskell;HTML/CSS;Java;JavaScript;Node.js;Perl;PHP;PowerShell;Python;R;Ruby;SQL;TypeScript,25-34 years old,Man
2525,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification",10,C#;Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript,18-24 years old,Man
2526,I am a developer by profession,Employed full-time,Germany,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Colleague",10,Bash/Shell;Matlab;Node.js;Python;SQL,25-34 years old,Man
2527,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Other (please specify):",13,HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,45-54 years old,"Or, in your own words:"
2528,I am a developer by profession,Employed full-time,Germany,18 - 24 years,"Other online resources (ex: videos, blogs, etc)",18,Bash/Shell;C++;Python;Rust,35-44 years old,Man
2529,I am a developer by profession,Employed full-time,Portugal,11 - 17 years,School,10,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,25-34 years old,Man
2530,I am a developer by profession,Employed full-time,India,18 - 24 years,School,5,Java,18-24 years old,Man
2531,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School,7,C++,25-34 years old,Man
2532,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",6,C#;HTML/CSS;JavaScript;SQL,18-24 years old,Man
2533,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Canada,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",25,HTML/CSS;JavaScript;Node.js;PHP,45-54 years old,Man
2534,I am a student who is learning to code,"Student, full-time",Israel,18 - 24 years,Colleague,6,C#;C++;Python,25-34 years old,Man
2535,I am a developer by profession,"Independent contractor, freelancer, or self-employed",France,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Other (please specify):",17,C++;Elixir;HTML/CSS;JavaScript;Node.js;Ruby;SQL,25-34 years old,"Non-binary, genderqueer, or gender non-conforming"
2536,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Cuba,11 - 17 years,Other (please specify):,15,C++;Python;SQL,25-34 years old,Man
2537,I am a developer by profession,Employed full-time,Netherlands,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification",6,Bash/Shell;C;Dart;Go;HTML/CSS;JavaScript;Kotlin;Matlab;Node.js;PHP;Python;Rust;SQL;TypeScript,25-34 years old,Man
2538,I am a developer by profession,Employed full-time,Russian Federation,11 - 17 years,Friend or family member,20,C;C++;Groovy;Java;JavaScript;Julia;Kotlin;Node.js;PowerShell;Python;TypeScript,35-44 years old,Man
2539,I am a student who is learning to code,"Student, full-time",India,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification",10,Assembly;Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL,18-24 years old,Man
2540,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Brazil,18 - 24 years,School;Friend or family member,15,R;SQL;VBA,25-34 years old,Man
2541,I am a developer by profession,Employed full-time,Italy,11 - 17 years,School;Online Courses or Certification;Other (please specify):;Colleague,24,HTML/CSS;Java;JavaScript;Scala,35-44 years old,Man
2542,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Spain,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Other (please specify):",27,HTML/CSS;JavaScript;PHP;Rust;SQL,35-44 years old,Man
2543,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",10,Bash/Shell;Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;SQL;TypeScript,25-34 years old,Man
2544,I am a developer by profession,Employed full-time,United States of America,18 - 24 years,School,16,C#;F#;HTML/CSS;Objective-C;SQL;Swift,25-34 years old,Man
2545,I am a developer by profession,Employed full-time,Germany,11 - 17 years,Online Forum;Online Courses or Certification,20,Dart;HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript,25-34 years old,Man
2546,I am a developer by profession,"Not employed, but looking for work",United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",7,C;Java;JavaScript;Node.js;Rust,18-24 years old,Woman
2547,I am a student who is learning to code,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",7,C#;HTML/CSS;Java;Python;SQL,35-44 years old,Man
2548,I am a developer by profession,Employed full-time,India,5 - 10 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Friend or family member",14,Bash/Shell;Go;Java;JavaScript;Kotlin;Node.js;SQL;TypeScript,18-24 years old,Man
2549,I am a developer by profession,Employed full-time,Russian Federation,18 - 24 years,School;Other (please specify):,14,HTML/CSS;JavaScript;SQL,25-34 years old,Woman
2550,I am a developer by profession,Employed full-time,Germany,25 - 34 years,School,15,Java;Kotlin;Python,25-34 years old,Man
2551,I am a developer by profession,Employed full-time,Poland,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Other (please specify):",23,Bash/Shell;C;Python,25-34 years old,Man
2552,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Switzerland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Colleague",25,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;Ruby;SQL,35-44 years old,Man
2553,I am a developer by profession,Employed full-time,France,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",12,C#;Kotlin;Node.js;PowerShell;Python;R;Scala;SQL;TypeScript,25-34 years old,Man
2554,I am a developer by profession,Employed full-time,Russian Federation,18 - 24 years,School;Online Courses or Certification,7,Python,25-34 years old,Man
2555,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Ukraine,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",30,C++,35-44 years old,Man
2556,I code primarily as a hobby,"Student, full-time",United Kingdom of Great Britain and Northern Ireland,5 - 10 years,School,7,Assembly;Bash/Shell;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;Ruby;Rust;SQL;TypeScript,Under 18 years old,Man
2557,I am a developer by profession,Employed full-time,India,18 - 24 years,School,11,C#;HTML/CSS;Swift,25-34 years old,Man
2558,I code primarily as a hobby,"Student, full-time",Germany,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification",6,HTML/CSS;Java;JavaScript;PHP;Python,Under 18 years old,Man
2559,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,18 - 24 years,School;Other (please specify):,22,Bash/Shell;Python,35-44 years old,"Or, in your own words:"
2560,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Romania,5 - 10 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc)",7,HTML/CSS;JavaScript;Node.js;PHP;Python;TypeScript,Under 18 years old,Man
2561,I am a student who is learning to code,Employed full-time,Germany,25 - 34 years,"Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification",,HTML/CSS;JavaScript;R,25-34 years old,Man
2562,I am a developer by profession,Employed full-time,Canada,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",23,HTML/CSS;Python;SQL,35-44 years old,Man
2563,I am a student who is learning to code,"Student, part-time",Russian Federation,5 - 10 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Colleague",8,Bash/Shell;C;C#;C++;Groovy;Haskell;Java;JavaScript;Kotlin;Python;Rust;TypeScript,Under 18 years old,"Or, in your own words:"
2564,I am a developer by profession,Employed full-time,Denmark,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",15,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL,25-34 years old,Man
2565,I am a student who is learning to code,"Student, full-time",Czech Republic,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",2,Bash/Shell;C#;C++;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL,18-24 years old,Man
2566,I am a student who is learning to code,"Student, full-time",Israel,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",6,Assembly;C;C#;C++;Go;Haskell;HTML/CSS;Java;Python,Under 18 years old,Man
2567,I am a developer by profession,Employed full-time,India,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague",13,Bash/Shell;HTML/CSS;Java;JavaScript;SQL;TypeScript,25-34 years old,Man
2568,I am a student who is learning to code,"Student, full-time",China,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",6,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;Python;TypeScript,18-24 years old,Man
2569,I am a student who is learning to code,"Student, full-time",India,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",2,Assembly;C++;Java;Python,18-24 years old,Man
2570,I am a developer by profession,Employed full-time,France,11 - 17 years,School;Friend or family member;Online Courses or Certification;Colleague,7,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;PHP;SQL;VBA,25-34 years old,Man
2571,I am a developer by profession,Employed full-time,Cuba,11 - 17 years,School,15,HTML/CSS;Java;JavaScript;Python;TypeScript,25-34 years old,Woman
2572,I am a developer by profession,Employed full-time,Thailand,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",8,Java;JavaScript;Kotlin;Node.js;SQL;TypeScript,18-24 years old,Man
2573,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",11,C#;C++;Delphi;JavaScript;Node.js;PowerShell;Python,18-24 years old,Man
2574,I am a developer by profession,Employed full-time,Israel,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",10,Bash/Shell;C#;Go;JavaScript;Node.js;PowerShell;SQL;TypeScript,25-34 years old,Man
2575,I am a developer by profession,Employed full-time,Poland,11 - 17 years,Friend or family member,23,C;C++;Go;Python;Rust,35-44 years old,Man
2576,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School;Online Forum;Friend or family member,6,Bash/Shell;Java;JavaScript;Node.js;Python;SQL,18-24 years old,Man
2577,I code primarily as a hobby,"Student, part-time",Sweden,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Colleague",5,HTML/CSS;JavaScript;Node.js,18-24 years old,Man
2578,I am a developer by profession,Employed full-time,Myanmar,,Other (please specify):,1,APL;Assembly,Prefer not to say,"Non-binary, genderqueer, or gender non-conforming"
2579,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,25 - 34 years,Online Courses or Certification,4,HTML/CSS;JavaScript;Node.js,25-34 years old,Man
2580,I am a developer by profession,Employed full-time,Lithuania,11 - 17 years,Online Forum,6,JavaScript;Node.js;Objective-C;Ruby;Swift,25-34 years old,Man
2581,I am a developer by profession,Employed full-time,Bangladesh,18 - 24 years,School,6,C#;F#;JavaScript;Node.js;SQL,25-34 years old,Man
2582,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School,14,C#,25-34 years old,Man
2583,"I used to be a developer by profession, but no longer am",Employed full-time,Germany,5 - 10 years,Other (please specify):,30,Bash/Shell;HTML/CSS;Java;Python;SQL,35-44 years old,Man
2584,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Other (please specify):",30,Bash/Shell;Elixir;Erlang;HTML/CSS;JavaScript;Python;TypeScript,35-44 years old,Man
2585,I am a developer by profession,Employed full-time,India,18 - 24 years,School,12,C#;HTML/CSS;JavaScript;SQL,25-34 years old,Man
2586,I am a developer by profession,Employed part-time,Germany,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",5,PHP;Python;SQL,18-24 years old,Man
2587,I am a developer by profession,"Student, full-time",India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",,C;C#;C++;Dart;Java;JavaScript;Node.js;Python;SQL;TypeScript,18-24 years old,Man
2588,I am a developer by profession,Employed full-time,Belgium,11 - 17 years,Online Forum;Online Courses or Certification,15,Bash/Shell;HTML/CSS;JavaScript;Node.js;Python;SQL,25-34 years old,Man
2589,I am a student who is learning to code,"Student, full-time",Hong Kong (S.A.R.),18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",3,C++;HTML/CSS;JavaScript;PHP;Python;SQL,18-24 years old,Man
2590,I am a developer by profession,Employed full-time,United States of America,25 - 34 years,Coding Bootcamp,8,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL,35-44 years old,Woman
2591,I am a developer by profession,Employed full-time,India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",6,Go;JavaScript;Node.js;SQL,18-24 years old,Man
2592,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,School;Other (please specify):,37,Bash/Shell;C#;JavaScript;Node.js;Python;TypeScript,35-44 years old,Man
2593,I am a developer by profession,Employed part-time,Switzerland,25 - 34 years,School;Online Forum,11,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;Ruby,35-44 years old,Man
2594,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Sri Lanka,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",8,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,25-34 years old,Man
2595,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,18 - 24 years,School,21,C#,35-44 years old,Man
2596,I am a developer by profession,Employed full-time,Germany,Younger than 5 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Colleague",,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;TypeScript,25-34 years old,Man
2597,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Germany,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",7,Assembly;C;C++;Matlab;Python,35-44 years old,Man
2598,I am a student who is learning to code,"Student, full-time",United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Friend or family member",4,C;C++;HTML/CSS;JavaScript;Node.js;PowerShell;Python,Under 18 years old,Man
2599,I am a developer by profession,Employed full-time,Latvia,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",7,HTML/CSS;JavaScript;PHP;SQL,18-24 years old,Man
2600,I am a developer by profession,Employed full-time,"Iran, Islamic Republic of...",Younger than 5 years,Online Courses or Certification,5,Java;Kotlin;TypeScript,18-24 years old,Man
2601,I am a developer by profession,Employed full-time,Pakistan,18 - 24 years,"Other online resources (ex: videos, blogs, etc)",6,HTML/CSS;JavaScript;PHP;SQL,18-24 years old,Man
2602,I code primarily as a hobby,"Student, full-time",United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum",3,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;Rust;SQL;TypeScript,Under 18 years old,Man
2603,I am a developer by profession,Employed full-time,Turkey,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",14,HTML/CSS;JavaScript;Swift;TypeScript,35-44 years old,Man
2604,I am a developer by profession,Employed full-time,United States of America,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",,C#;HTML/CSS;JavaScript;Python;SQL,25-34 years old,Man
2605,I am a developer by profession,Employed full-time,France,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",7,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,25-34 years old,Man
2606,I am a developer by profession,Employed full-time,Israel,18 - 24 years,,,Scala;TypeScript,45-54 years old,Man
2607,I am a developer by profession,Employed full-time,Portugal,35 - 44 years,School;Online Forum;Friend or family member,23,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;SQL,35-44 years old,Man
2608,I am a student who is learning to code,"Student, full-time",India,11 - 17 years,School;Colleague,,C;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL,18-24 years old,Man
2609,I am a student who is learning to code,"Student, full-time",Poland,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",,C;HTML/CSS,Under 18 years old,Man
2610,I am a developer by profession,Employed full-time,India,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",12,HTML/CSS;JavaScript;PHP;TypeScript,25-34 years old,Man
2611,I am a developer by profession,Employed full-time,Belgium,45 - 54 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Colleague",32,Bash/Shell;C#;HTML/CSS;Objective-C;SQL;VBA,45-54 years old,Man
2612,I am a developer by profession,Employed full-time,Canada,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Other (please specify):",15,Assembly;Bash/Shell;C;C#;C++;Clojure;Erlang;Go;HTML/CSS;Java;JavaScript;Kotlin;LISP;Node.js;Perl;PHP;PowerShell;Python;R;SQL;TypeScript;VBA,25-34 years old,Man
2613,I am a developer by profession,Employed full-time,Russian Federation,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Other (please specify):",7,Bash/Shell;C++;Go;Groovy;HTML/CSS;Java;PowerShell;Python,25-34 years old,Man
2614,I am a student who is learning to code,"Student, full-time",Germany,5 - 10 years,School;Friend or family member,4,C;Java;Python,Under 18 years old,Man
2615,I am a developer by profession,Employed full-time,India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",8,JavaScript;Node.js;Python;SQL;TypeScript,25-34 years old,Man
2616,I am a developer by profession,Employed full-time,India,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",,HTML/CSS;JavaScript;Python,25-34 years old,Man
2617,I am a developer by profession,Employed full-time,Germany,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",20,Bash/Shell;C#;C++;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,35-44 years old,Woman
2618,I am a developer by profession,Employed full-time,Romania,11 - 17 years,School,21,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,35-44 years old,Man
2619,I am a developer by profession,"Student, full-time",Japan,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School",7,Python;Swift,25-34 years old,"Non-binary, genderqueer, or gender non-conforming"
2620,I am a developer by profession,"Student, full-time","Iran, Islamic Republic of...",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",,C;C++;Java;PHP;Python;SQL,18-24 years old,Man
2621,I am a developer by profession,Employed full-time,Colombia,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",32,HTML/CSS;JavaScript;Node.js;SQL;TypeScript,45-54 years old,Man
2622,I am a developer by profession,Employed full-time,Colombia,11 - 17 years,School,10,HTML/CSS;Java;JavaScript;PHP;SQL;Swift;TypeScript,25-34 years old,Man
2623,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Denmark,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum",5,Python;R;Rust,25-34 years old,Man
2624,I am a developer by profession,"Student, full-time",India,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",,C;C#;C++;Dart;Go;Java;JavaScript;Python;SQL,18-24 years old,Man
2625,"I am not primarily a developer, but I write code sometimes as part of my work",Employed part-time,United Kingdom of Great Britain and Northern Ireland,11 - 17 years,Other (please specify):,33,Bash/Shell;C;Perl;PHP;PowerShell;Python;SQL,45-54 years old,Man
2626,I am a developer by profession,Employed full-time,Ukraine,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",5,Assembly;C;C++;Go;Haskell;Python;TypeScript,18-24 years old,Man
2627,I am a developer by profession,Employed full-time,Colombia,18 - 24 years,"Other online resources (ex: videos, blogs, etc)",5,Dart;Kotlin;Swift,25-34 years old,Man
2628,I am a student who is learning to code,"Student, full-time",Viet Nam,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",3,C++;HTML/CSS;JavaScript;Node.js;Rust;TypeScript,Under 18 years old,Man
2629,I am a student who is learning to code,"Student, full-time",Portugal,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",3,Assembly;C;HTML/CSS;Python,18-24 years old,Man
2630,I am a developer by profession,Employed full-time,Ethiopia,18 - 24 years,School,9,C#;Java;Node.js;PHP;SQL,25-34 years old,Man
2631,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,11 - 17 years,Coding Bootcamp;Online Courses or Certification;Colleague,6,HTML/CSS;JavaScript;Node.js;Python;VBA,25-34 years old,Man
2632,I am a developer by profession,Employed part-time,Italy,11 - 17 years,School,10,Assembly;Bash/Shell;C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;SQL;TypeScript,18-24 years old,Man
2633,I am a developer by profession,Employed full-time,Serbia,11 - 17 years,School,8,Bash/Shell;Ruby;Rust;Swift,25-34 years old,Man
2634,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification;Colleague",11,Bash/Shell;HTML/CSS;JavaScript;PHP;Python;SQL,35-44 years old,Man
2635,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",15,HTML/CSS;JavaScript;Node.js;TypeScript,25-34 years old,Man
2636,I am a student who is learning to code,"Student, full-time",United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification",11,C;HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,18-24 years old,Man
2637,I am a developer by profession,Employed full-time,Indonesia,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum",5,Ruby,18-24 years old,Man
2638,I am a developer by profession,Employed full-time,Nepal,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",3,HTML/CSS;PowerShell;SQL,25-34 years old,Man
2639,I am a developer by profession,Employed full-time,Germany,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Colleague",15,HTML/CSS;Java;JavaScript;Node.js;PHP;SQL,25-34 years old,Man
2640,I am a developer by profession,Employed full-time,France,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",15,Bash/Shell;C;C#;C++;Kotlin;Python,25-34 years old,Man
2641,I am a student who is learning to code,"Student, full-time",United Kingdom of Great Britain and Northern Ireland,11 - 17 years,Other (please specify):,10,HTML/CSS;JavaScript;Python;Rust,18-24 years old,Man
2642,I am a developer by profession,Employed full-time,India,18 - 24 years,Coding Bootcamp;Online Forum;Friend or family member;Online Courses or Certification,5,HTML/CSS;Java;JavaScript;Kotlin;Node.js;SQL,18-24 years old,Man
2643,I code primarily as a hobby,"Not employed, but looking for work",Turkey,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",,C;Python,18-24 years old,Prefer not to say
2644,I am a developer by profession,Employed full-time,Ireland,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",12,C;HTML/CSS;JavaScript;PHP;SQL;TypeScript,25-34 years old,Man
2645,I am a developer by profession,Employed full-time,Switzerland,11 - 17 years,Other (please specify):,25,Assembly;C#;C++,35-44 years old,Man
2646,I am a developer by profession,"Independent contractor, freelancer, or self-employed",India,18 - 24 years,Other (please specify):,17,HTML/CSS;Java;JavaScript;SQL,35-44 years old,Man
2647,I am a developer by profession,Employed full-time,France,5 - 10 years,Online Courses or Certification,10,C++;JavaScript;Matlab;Python;TypeScript;VBA,25-34 years old,Man
2648,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",22,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;TypeScript,35-44 years old,Man
2649,I am a developer by profession,Employed part-time,Poland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",13,C#;C++;Delphi;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,25-34 years old,"Or, in your own words:"
2650,I am a student who is learning to code,"Student, full-time",Slovenia,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",6,Bash/Shell;C;C++;Java;Python;SQL,18-24 years old,Man
2651,I am a developer by profession,Employed full-time,Netherlands,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",11,C;C++;HTML/CSS;JavaScript;Python;Rust;SQL,25-34 years old,
